Methode,Version,Test_Type,Nx,Ny,Processus_p,Temps_s,Iterations,Erreur_Finale
Gauss-Seidel,Parallele,Faible,64,256,1,21.2844,38736,9.99967e-09
Gauss-Seidel,Parallele,Faible,128,256,2,26.0178,44898,9.99764e-09
Gauss-Seidel,Parallele,Faible,256,256,4,42.9104,68835,9.9992e-09
Gauss-Seidel,Parallele,Faible,1024,256,16,359.544,459194,9.99999e-09
Gauss-Seidel,Parallele,Faible,1280,256,20,528.379,665158,9.99994e-09
Gauss-Seidel,Parallele,Faible,2048,256,32,799.533,1000000,8.55278e-08
Gauss-Seidel,Parallele,Faible,4096,256,64,887.025,1000000,6.7e-07
Gauss-Seidel,Parallele,Forte,256,256,1,142.434,68589,9.99974e-09
Gauss-Seidel,Parallele,Forte,256,256,2,73.9639,68589,9.99974e-09
Gauss-Seidel,Parallele,Forte,256,256,4,39.0169,68835,9.9992e-09
Gauss-Seidel,Parallele,Forte,256,256,16,13.5329,68634,9.99853e-09
Gauss-Seidel,Parallele,Forte,256,256,20,12.6904,70951,9.99953e-09
Gauss-Seidel,Parallele,Forte,256,256,32,9.39293,68605,9.99908e-09
Gauss-Seidel,Parallele,Forte,256,256,64,11.3689,68596,9.99852e-09
Jacobi,Parallele,Faible,64,256,1,36.6024,72535,9.99961e-09
Jacobi,Parallele,Faible,128,256,2,45.5687,83986,9.9992e-09
Jacobi,Parallele,Faible,256,256,4,68.2387,127900,9.99931e-09
Jacobi,Parallele,Faible,1024,256,16,609.575,839694,9.99997e-09
Jacobi,Parallele,Faible,1280,256,20,606.813,1000000,3.37147e-08
Jacobi,Parallele,Faible,2048,256,32,773.74,1000000,4.32515e-07
Jacobi,Parallele,Faible,4096,256,64,165.454,200000,2.29366e-06
Jacobi,Parallele,Forte,256,256,1,249.21,127900,9.99931e-09
Jacobi,Parallele,Forte,256,256,2,173.962,127900,9.99931e-09
Jacobi,Parallele,Forte,256,256,4,88.9938,127900,9.99931e-09
Jacobi,Parallele,Forte,256,256,16,25.5211,127900,9.99931e-09
Jacobi,Parallele,Forte,256,256,20,22.8219,127900,9.99931e-09
Jacobi,Parallele,Forte,256,256,32,17.0877,127900,9.99931e-09
Jacobi,Parallele,Forte,256,256,64,19.9091,127900,9.99931e-09
