Methode,Version,Test_Type,Nx,Ny,Processus_p,Temps_s,Iterations,Erreur_Finale
GS,Parallele,Faible,256,256,1,164.721,68589,9.99974e-09
GS,Parallele,Faible,256,256,16,12.607,68634,9.99853e-09
GS,Parallele,Faible,256,256,20,11.4932,70951,9.99953e-09
GS,Parallele,Faible,256,256,32,9.8439,68605,9.99908e-09
GS,Parallele,Faible,256,256,4,42.6012,68835,9.9992e-09
GS,Parallele,Faible,256,256,64,11.4713,68596,9.99852e-09
GS,Parallele,Faible,64,256,1,21.7324,38736,9.99967e-09
GS,Parallele,Faible,64,256,16,2.56333,38751,9.99759e-09
GS,Parallele,Faible,64,256,20,2.8615,39244,9.99826e-09
GS,Parallele,Faible,64,256,32,3.31089,38742,9.99915e-09
GS,Parallele,Faible,64,256,4,6.1646,38802,9.99927e-09
GS,Parallele,Faible,64,256,64,5.30704,40838,9.99949e-09
GS,Parallele,Faible,128,256,1,49.8596,44898,9.99764e-09
GS,Parallele,Faible,128,256,16,4.75993,44922,9.99934e-09
GS,Parallele,Faible,128,256,20,4.57902,45642,9.99923e-09
GS,Parallele,Faible,128,256,32,4.54033,44907,9.998e-09
GS,Parallele,Faible,128,256,4,14.0069,45027,9.99808e-09
GS,Parallele,Faible,128,256,64,6.32826,44901,9.99985e-09
Jacobi,Parallele,Faible,256,256,1,272.809,127900,9.99931e-09
Jacobi,Parallele,Faible,256,256,16,22.2117,127900,9.99931e-09
Jacobi,Parallele,Faible,256,256,20,19.0726,127900,9.99931e-09
Jacobi,Parallele,Faible,256,256,32,15.5102,127900,9.99931e-09
Jacobi,Parallele,Faible,256,256,4,74.2226,127900,9.99931e-09
Jacobi,Parallele,Faible,256,256,64,19.1609,127900,9.99931e-09
Jacobi,Parallele,Faible,64,256,1,38.1508,72535,9.99961e-09
Jacobi,Parallele,Faible,64,256,16,4.09987,72535,9.99961e-09
Jacobi,Parallele,Faible,64,256,20,4.22246,72535,9.99961e-09
Jacobi,Parallele,Faible,64,256,32,4.95023,72535,9.99961e-09
Jacobi,Parallele,Faible,64,256,4,11.1408,72535,9.99961e-09
Jacobi,Parallele,Faible,64,256,64,8.81442,72535,9.99961e-09
Jacobi,Parallele,Faible,128,256,1,83.8113,83986,9.9992e-09
Jacobi,Parallele,Faible,128,256,16,8.49341,83986,9.9992e-09
Jacobi,Parallele,Faible,128,256,20,7.78019,83986,9.9992e-09
Jacobi,Parallele,Faible,128,256,32,8.51727,83986,9.9992e-09
Jacobi,Parallele,Faible,128,256,4,24.6311,83986,9.9992e-09
Jacobi,Parallele,Faible,128,256,64,11.5977,83986,9.9992e-09
